"S.No,Open,High,Low,Close,Adj Close,Volume"
"293,8670,8880,8640,8800,6827.013672,43090000"
"294,8820,8890,8710,8880,6889.078613,22510000"
"295,8740,8920,8740,8900,6904.595703,17350000"
"296,8920,8940,8800,8920,6920.110352,14980000"
"297,8970,8990,8840,8850,6865.805176,15735000"
"298,8900,8920,8640,8690,6741.67627,15875000"
"299,8690,8700,8600,8660,6718.402344,15915000"
"300,8660,8750,8630,8750,6788.224609,11770000"
"301,8720,8760,8630,8720,6764.950195,13635000"
"302,8680,8890,8670,8890,6896.836914,17105000"
"303,8860,9020,8860,9010,6989.931152,17265000"
"304,9010,9010,9010,9010,6989.931152,0"
"305,null,null,null,null,null,null"
"306,9000,9020,8920,8940,6935.626465,14015000"
"307,8800,8860,8730,8860,6873.561035,23365000"
"308,8780,8910,8700,8700,6749.435059,17150000"
"309,8820,8830,8710,8810,6834.772461,13615000"
"310,8840,8840,8750,8760,6795.983887,12505000"
"311,8760,8840,8670,8840,6858.046875,27855000"
"312,8870,8880,8800,8840,6858.046875,14720000"
"313,8840,8940,8820,8880,6889.078613,23695000"
"314,8800,9480,8790,9430,7315.766602,71900000"
"315,9800,9890,9650,9850,7641.601563,61795000"
"316,9800,9810,9690,9720,7540.749023,30240000"
"317,9720,9770,9580,9600,7447.652832,22850000"
"318,9600,9700,9510,9600,7447.652832,19270000"
"319,9500,9720,9500,9720,7540.749023,15030000"
"320,9650,9760,9550,9760,7571.779785,19070000"
"321,9600,9700,9580,9670,7501.960938,18165000"
"322,9700,9870,9690,9810,7610.569336,24885000"
"323,9900,9900,9810,9840,7633.844238,19990000"
"324,9830,9830,9600,9780,7587.295898,14220000"
"325,9760,9900,9680,9900,7680.391113,16465000"
"326,9900,9970,9830,9830,7626.085449,21855000"
"327,9830,9880,9730,9810,7610.569336,19750000"
"328,9720,9940,9720,9920,7695.907227,17445000"
"329,9880,9970,9860,9910,7688.148438,12855000"
"330,10120,10240,10060,10200,7913.130859,33935000"
"331,10200,10200,10200,10200,7913.130859,0"
"332,10200,10200,10200,10200,7913.130859,0"
"333,10200,10200,10200,10200,7913.130859,0"
"334,10100,10180,10020,10120,7851.068848,25885000"
"335,10260,10440,10200,10340,8021.741211,28265000"
"336,10400,10420,10220,10380,8052.776367,26745000"
"337,10440,10620,10360,10400,8068.288086,24010000"
"338,10340,10440,10300,10340,8021.741211,17510000"
"339,10360,10540,10280,10540,8176.900879,18355000"
"340,10600,10640,10480,10560,8192.416992,23430000"
"341,10560,10580,10360,10440,8099.324219,17855000"
"342,10280,10320,10180,10220,7928.646973,19745000"
"343,10200,10400,10140,10380,8052.776367,20985000"
"344,10480,10580,10420,10440,8099.324219,20880000"
"345,10600,10620,10420,10540,8176.900879,27705000"
"346,10540,10540,10540,10540,8176.900879,0"
"347,10500,10560,10340,10340,8021.741211,27425000"
"348,10300,10520,10240,10380,8052.776367,30335000"
"349,10340,10340,10160,10200,7913.130859,24410000"
"350,10300,10300,10000,10140,7866.583008,29515000"
"351,10140,10160,10000,10040,7789.002441,26380000"
"352,9980,10000,9830,10000,7757.971191,24890000"
"353,10060,10160,9990,9990,7750.211426,31630000"
"354,10140,10380,10080,10380,8052.776367,32010000"
"355,10260,10320,10160,10200,7913.130859,20845000"
"356,10240,10280,9980,10040,7789.002441,25030000"
"357,9980,10080,9910,10060,7804.518066,18545000"
"358,9860,9970,9840,9920,7695.907227,20875000"
"359,9860,9960,9860,9900,7680.391113,12750000"
"360,9830,9980,9800,9840,7633.844238,16770000"
"361,9860,10020,9790,9920,7695.907227,15795000"
"362,9860,9990,9830,9970,7734.697266,15920000"
"363,10020,10120,9950,10060,7804.518066,20100000"
"364,10100,10120,10000,10100,7835.551758,10875000"
